Region,Price,Purchases,Non_Purchases,M1_Pred_Purchases,M1_Pred_Non_Purchases,M1_X2,M2_Pred_Purchases,M2_Pred_Non_Purchases,M2_X2
1,70,16,13,15.44,13.56,0.04,14.18,14.82,0.46
1,100,16,31,16.92,30.08,0.08,16.41,30.59,0.02
1,130,12,37,12.29,36.71,0.01,12.71,36.29,0.05
1,190,5,23,3.82,24.18,0.42,4.46,23.54,0.08
1,250,2,28,2.52,27.48,0.12,3.24,26.76,0.53
2,40,46,15,47.58,13.42,0.24,46.1,14.9,0
2,80,40,30,35.43,34.57,1.19,35.08,34.92,1.38
2,120,18,46,21.21,42.79,0.73,21.9,42.1,1.06
2,200,10,49,9.78,49.22,0.01,10.92,48.08,0.09
3,50,42,16,43.14,14.86,0.12,42.57,15.43,0.03
3,90,33,27,31.05,28.95,0.25,30.9,29.1,0.29
3,150,18,40,18.04,39.96,0,18.37,39.63,0.01
3,210,9,39,9.76,38.24,0.08,10.16,37.84,0.17
4,50,14,21,15.36,19.64,0.21,20.02,14.98,4.23
4,100,14,35,14.39,34.61,0.01,14.83,34.17,0.07
4,150,16,29,10.04,34.96,4.56,8.25,36.75,8.9
4,200,3,26,5.25,23.75,1.17,3.58,25.42,0.11
4,250,2,24,3.97,22.03,1.15,2.32,23.68,0.05
5,0,62,2,NA,NA,.,.,.,.
5,60,27,10,26.08,10.92,0.11,24.59,12.41,0.71
5,110,12,25,15.22,21.78,1.16,15.74,21.26,1.55
5,140,11,18,8.7,20.3,0.87,9.67,19.33,0.27
6,0,52,1,NA,NA,.,.,.,.
6,50,14,5,14.84,4.16,0.22,14.2,4.8,0.01
6,100,11,7,8.73,9.27,1.15,8.82,9.18,1.06
6,150,4,14,5.43,12.57,0.54,5.98,12.02,0.98
