Hotel,Treatment,Num_Towels_Reused,reuse_dummy_recode,days_stay_max,daterank,avg_num_towels_reused,avg_reuse_rate,unique_spell
Bedford,Treatment,2,1,3,1,2,1,32617948
Bedford,Control,0,0,13,8,1,0.4444444,32317943
Bedford,Treatment,3,1,4,2,1.666667,0.6666667,22617930
Bedford,Control,0,0,13,5,1,0.4444444,32317943
Bedford,Treatment,6,1,3,1,6,1,30217923
Bedford,Control,6,1,1,1,6,1,11017937
Bedford,Treatment,1,1,2,1,1,1,22417930
Bedford,Control,0,0,13,7,1,0.4444444,32317943
Bedford,Control,4,1,4,1,5,1,31817950
Bedford,Treatment,4,1,5,1,4,1,30617957
Bedford,Treatment,0,0,14,1,2.5,0.5,30217928
Bedford,Control,4,1,4,1,4,1,21317924
Bedford,Treatment,5,1,4,2,5.5,1,21917930
Bedford,Treatment,0,0,7,1,0,0,10717934
Bedford,Control,5,1,3,1,4.5,1,32217951
Bedford,Control,5,1,2,1,5,1,21317936
Bedford,Treatment,3,1,3,1,3,1,31217937
Bedford,Treatment,2,1,4,1,1,0.5,30817923
Bedford,Treatment,4,1,4,3,2,0.6666667,31217930
Bedford,Treatment,2,1,3,1,2,1,10817936
Bedford,Treatment,4,1,11,2,2,0.5,10717918
Bedford,Control,3,1,5,2,3.5,1,31417932
Bedford,Control,0,0,11,5,3.4,0.6,32717930
Bedford,Control,5,1,3,1,6.5,1,31917930
Bedford,Control,3,1,13,6,1,0.4444444,32317943
Bedford,Control,5,1,3,1,3.5,1,20417936
Bedford,Control,3,1,3,2,2,1,31617951
Bedford,Control,3,1,3,1,2.5,1,20617936
Bedford,Control,2,1,3,2,2.5,1,20617936
Bedford,Control,0,0,3,1,0,0,32017936
Bedford,Treatment,3,1,3,2,1.5,0.5,32617930
Bedford,Control,4,1,2,1,4,1,20617953
Bedford,Control,2,1,3,2,3.5,1,20417936
Bedford,Treatment,0,0,9,2,0,0,10817948
Bedford,Control,0,0,2,1,0,0,31517939
Bedford,Treatment,1,1,4,1,1,1,10217951
Bedford,Control,0,0,4,1,0,0,31617930
Bedford,Treatment,0,0,4,2,1,0.5,30817923
Bedford,Control,0,0,3,1,0,0,20217957
Bedford,Treatment,0,0,6,2,1.5,0.5,21217929
Bedford,Control,0,0,3,1,0,0,32217937
Bedford,Control,0,0,11,3,3.4,0.6,32717930
Bedford,Control,10,1,11,1,3.4,0.6,32717930
Bedford,Control,2,1,4,1,2,1,32017944
Bedford,Treatment,2,1,3,2,2,1,10817936
Bedford,Control,5,1,3,1,5,1,20417923
Bedford,Treatment,0,0,4,1,1,0.5,30617944
Bedford,Treatment,0,0,2,1,0,0,31717926
Bedford,Control,4,1,3,1,4,1,21517953
Bedford,Treatment,9,1,2,1,9,1,30117927
Bedford,Treatment,0,0,3,1,0,0,31217950
Bedford,Control,5,1,5,3,3.5,1,31417932
Bedford,Control,4,1,2,1,4,1,31417930
Bedford,Control,6,1,2,1,6,1,32417941
Bedford,Treatment,3,1,1,1,3,1,10317937
Bedford,Treatment,1,1,4,2,1.666667,0.6666667,31017930
Bedford,Control,4,1,22,1,4,1,31317933
Bedford,Control,0,0,2,1,0,0,32717926
Bedford,Control,3,1,3,1,3.5,1,20217936
Bedford,Control,3,1,44,2,5.333333,1,21318258
Bedford,Control,4,1,3,1,4,1,21417937
Bedford,Treatment,0,0,3,1,0,0,30617923
Bedford,Control,4,1,3,1,4,1,31617936
Bedford,Treatment,1,1,2,1,1,1,30517931
Bedford,Treatment,0,0,4,3,1.666667,0.6666667,31017930
Bedford,Control,6,1,5,1,6,1,31517932
Bedford,Control,6,1,6,3,5.333333,1,31117937
Bedford,Treatment,4,1,4,1,1.666667,0.6666667,31017930
Bedford,Control,4,1,4,1,4,1,21317951
Bedford,Treatment,0,0,1,1,0,0,32517940
Bedford,Treatment,0,0,4,1,1.666667,0.6666667,22617930
Bedford,Control,4,1,11,2,3.4,0.6,32717930
Bedford,Control,3,1,3,2,3.5,1,31417950
Bedford,Treatment,4,1,4,1,2.333333,0.6666667,32117958
Bedford,Control,0,0,27,3,1.333333,0.3333333,10517929
Bedford,Treatment,3,1,4,1,2.666667,1,30817933
Bedford,Treatment,3,1,2,1,3,1,20317937
Bedford,Treatment,2,1,3,2,2.5,1,21017936
Bedford,Control,0,0,3,2,0,0,31817923
Bedford,Treatment,4,1,3,2,4,1,31217923
Bedford,Control,4,1,3,1,3.5,1,31417950
Bedford,Control,3,1,5,4,3.5,1,31417932
Bedford,Treatment,0,0,3,2,0,0,30617923
Bedford,Treatment,3,1,4,2,2.333333,0.6666667,32117958
Bedford,Control,3,1,5,1,3.5,1,31417932
Bedford,Control,3,1,2,1,3,1,32417951
Bedford,Treatment,6,1,1,1,6,1,32617940
Bedford,Control,0,0,3,1,0,0,32217936
