year,party,dshort_term,votesh_incumb,usrepvotesh_dem,bills_intro
1995,Rep.,4 years,0.6450033,0.5936042,47
1995,Dem.,2 years,0.5049208,0.6116611,74
1995,Rep.,2 years,0.5232112,0.4809473,27
1995,Rep.,4 years,0.5271519,0.3931919,11
1995,Dem.,4 years,0.5599189,0.398688,39
1995,Dem.,4 years,1,0.7216657,41
1995,Rep.,2 years,1,0.0200615,48
1995,Rep.,2 years,1,0.1445811,75
1995,Rep.,2 years,1,0.2628734,57
1995,Rep.,2 years,1,0.2962137,94
1995,Rep.,4 years,0.5566721,0.4459141,66
1995,Dem.,2 years,1,0.6301019,61
1995,Dem.,4 years,1,0.7295272,137
1995,Dem.,2 years,1,0.5973881,100
1995,Dem.,2 years,1,0.5301345,31
1995,Rep.,4 years,1,0.1784023,30
1995,Rep.,4 years,0.7265936,0.2202388,96
1995,Dem.,4 years,1,0.4869947,126
1995,Dem.,4 years,1,0.5936359,87
1995,Dem.,4 years,0.5848017,0.6047593,49
1995,Dem.,2 years,0.684172,0.5496784,60
1995,Rep.,4 years,0.5882494,0.6026304,54
1995,Dem.,4 years,1,0.7377777,62
1995,Dem.,2 years,0.5336414,0.5033069,53
1995,Rep.,2 years,0.7511986,0.1158316,93
1995,Dem.,2 years,0.6293728,0.6384955,38
1995,Dem.,2 years,0.6679981,0.6129135,60
1995,Dem.,4 years,0.642364,0.2372273,109
1995,Dem.,2 years,1,0.5710174,59
1995,Rep.,4 years,0.51202,0.5135056,41
1995,Rep.,4 years,1,0.1336143,54
2003,Rep.,4 years,0.6817722,0.5651236,18
2003,Rep.,4 years,0.5475907,0.512044,29
2003,Rep.,4 years,1,0.4615186,88
2003,Rep.,2 years,0.6353491,0.3962715,54
2003,Rep.,4 years,1,0.3883377,53
2003,Dem.,2 years,1,0.8718137,54
2003,Rep.,4 years,1,0.0579667,101
2003,Rep.,4 years,1,0.23789,67
2003,Rep.,2 years,1,0.3813938,61
2003,Rep.,2 years,0.5952014,0.3486672,37
2003,Rep.,2 years,1,0.4129623,73
2003,Rep.,4 years,1,0.1194132,75
2003,Dem.,4 years,1,0.7556546,103
2003,Dem.,4 years,0.549972,0.7586528,79
2003,Dem.,4 years,0.6036864,0.6043874,41
2003,Rep.,2 years,0.653181,0.3425779,58
2003,Rep.,4 years,0.6142855,0.3483482,79
2003,Dem.,4 years,0.5415512,0.3228755,131
2003,Dem.,4 years,1,0.5606956,106
2003,Dem.,2 years,1,0.7060083,45
2003,Dem.,2 years,1,0.7220482,104
2003,Rep.,4 years,0.6737608,0.405452,60
2003,Dem.,2 years,1,0.795545,75
2003,Rep.,2 years,1,0.4235816,42
2003,Rep.,4 years,0.6885172,0.3472902,93
2003,Dem.,2 years,1,0.8202968,92
2003,Dem.,2 years,1,0.7980755,69
2003,Rep.,2 years,1,0.2587703,64
2003,Dem.,4 years,1,0.9932483,107
2003,Rep.,2 years,0.6940696,0.3732625,29
2003,Rep.,2 years,1,0.0961207,45
19931,Rep.,2 years,0.5215147,0.9295985,12
19931,Rep.,4 years,0.5718679,0.4305145,5
19931,Dem.,2 years,0.5388342,0.5528721,18
19931,Dem.,4 years,0.5457322,0.4954732,9
19931,Dem.,4 years,1,0.5118972,13
19931,Rep.,2 years,0.5765268,0.3173125,9
19931,Rep.,2 years,1,0.0725273,12
19931,Rep.,2 years,1,0.2899196,19
19931,Rep.,4 years,0.6057155,0.5405508,30
19931,Rep.,4 years,0.6142206,0.4318743,7
19931,Rep.,2 years,0.5159151,0.4821168,11
19931,Dem.,2 years,1,0.6695185,9
19931,Dem.,4 years,1,0.7795917,27
19931,Dem.,2 years,0.7005796,0.7232872,47
19931,Dem.,4 years,0.7434644,0.6608845,47
19931,Rep.,2 years,1,0.1969397,6
19931,Rep.,2 years,0.5963539,0.3418658,20
19931,Dem.,2 years,0.5971402,0.617349,25
19931,Dem.,2 years,0.5302996,0.7660787,8
19931,Dem.,4 years,1,0.5635018,9
19931,Dem.,4 years,1,0.4940926,13
19931,Rep.,4 years,0.603269,0.4708364,16
19931,Dem.,4 years,1,0.770777,9
19931,Dem.,2 years,1,0.9290483,19
19931,Dem.,4 years,0.5174755,0.515287,16
19931,Rep.,4 years,0.6657656,0.4059032,14
19931,Dem.,2 years,1,0.6238697,23
19931,Dem.,2 years,0.6613429,0.3606687,25
19931,Dem.,4 years,1,0.5224361,17
19931,Dem.,4 years,0.5076007,0.634359,31
19931,Rep.,4 years,1,0.3383882,15
19932,Rep.,2 years,0.5215147,0.9295985,25
19932,Rep.,4 years,0.5718679,0.4305145,11
19932,Dem.,2 years,0.5388342,0.5528721,41
19932,Dem.,4 years,0.5457322,0.4954732,74
19932,Dem.,4 years,1,0.5118972,27
19932,Rep.,2 years,0.5765268,0.3173125,25
19932,Rep.,2 years,1,0.0725273,36
19932,Rep.,2 years,1,0.2899196,33
19932,Rep.,4 years,0.6057155,0.5405508,19
19932,Rep.,4 years,0.6142206,0.4318743,53
19932,Rep.,2 years,0.5159151,0.4821168,31
19932,Dem.,2 years,1,0.6695185,40
19932,Dem.,4 years,1,0.7795917,43
19932,Dem.,2 years,0.7005796,0.7232872,82
19932,Dem.,4 years,0.7434644,0.6608845,36
19932,Rep.,2 years,1,0.1969397,24
19932,Rep.,2 years,0.5963539,0.3418658,34
19932,Dem.,2 years,0.5971402,0.617349,64
19932,Dem.,2 years,0.5302996,0.7660787,22
19932,Dem.,4 years,1,0.5635018,26
19932,Dem.,4 years,1,0.4940926,45
19932,Rep.,4 years,0.603269,0.4708364,21
19932,Dem.,4 years,1,0.770777,24
19932,Dem.,2 years,1,0.9290483,25
19932,Dem.,4 years,0.5174755,0.515287,51
19932,Rep.,4 years,0.6657656,0.4059032,36
19932,Dem.,2 years,1,0.6238697,36
19932,Dem.,2 years,0.6613429,0.3606687,59
19932,Dem.,4 years,1,0.5224361,30
19932,Dem.,4 years,0.5076007,0.634359,41
19932,Rep.,4 years,1,0.3383882,37
