subject,y1,y0,d1,x,xweak,subject_chk,y,d2,xweak_chk,block,prob,wt,tau,blocknum,w0,w1,tau_w0,tau_w1,p0,p1
1,5,5,0,6,25,1,5,0,25,1: Predominantly Hindu,0.6,2.5,0,1,2.5,1.666667,0,0,0.4,0.6
2,15,5,1,8,12,2,15,1,12,1: Predominantly Hindu,0.6,1.667,10,1,2.5,1.666667,25,16.66667,0.4,0.6
3,12,6,1,5,25,3,6,0,25,1: Predominantly Hindu,0.6,2.5,6,1,2.5,1.666667,15,10,0.4,0.6
4,19,9,0,13,27,4,19,1,27,1: Predominantly Hindu,0.6,1.667,10,1,2.5,1.666667,25,16.66667,0.4,0.6
5,17,10,0,9,10,5,10,0,10,1: Predominantly Hindu,0.6,2.5,7,1,2.5,1.666667,17.5,11.66667,0.4,0.6
6,18,11,0,15,24,6,11,0,24,3: Predominantly Sikh,0.4,1.667,7,3,1.666667,2.5,11.66667,17.5,0.6,0.4
7,24,12,0,16,21,7,24,1,21,1: Predominantly Hindu,0.6,1.667,12,1,2.5,1.666667,30,20,0.4,0.6
8,11,13,0,17,25,8,11,1,25,1: Predominantly Hindu,0.6,1.667,-2,1,2.5,1.666667,-5,-3.333333,0.4,0.6
9,16,14,0,19,35,9,16,1,35,1: Predominantly Hindu,0.6,1.667,2,1,2.5,1.666667,5,3.333333,0.4,0.6
10,25,19,1,23,28,10,25,1,28,1: Predominantly Hindu,0.6,1.667,6,1,2.5,1.666667,15,10,0.4,0.6
11,18,20,1,28,41,11,18,1,41,1: Predominantly Hindu,0.6,1.667,-2,1,2.5,1.666667,-5,-3.333333,0.4,0.6
12,21,20,0,28,38,12,20,0,38,3: Predominantly Sikh,0.4,1.667,1,3,1.666667,2.5,1.666667,2.5,0.6,0.4
13,17,20,0,9,30,13,20,0,30,1: Predominantly Hindu,0.6,2.5,-3,1,2.5,1.666667,-7.5,-5,0.4,0.6
14,24,21,1,16,20,14,24,1,20,1: Predominantly Hindu,0.6,1.667,3,1,2.5,1.666667,7.5,5,0.4,0.6
15,27,24,1,23,24,15,24,0,24,1: Predominantly Hindu,0.6,2.5,3,1,2.5,1.666667,7.5,5,0.4,0.6
16,26,25,0,15,26,16,26,1,26,1: Predominantly Hindu,0.6,1.667,1,1,2.5,1.666667,2.5,1.666667,0.4,0.6
17,30,27,1,23,22,17,30,1,22,1: Predominantly Hindu,0.6,1.667,3,1,2.5,1.666667,7.5,5,0.4,0.6
18,37,27,0,33,34,18,27,0,34,1: Predominantly Hindu,0.6,2.5,10,1,2.5,1.666667,25,16.66667,0.4,0.6
19,43,30,1,42,37,19,43,1,37,3: Predominantly Sikh,0.4,2.5,13,3,1.666667,2.5,21.66667,32.5,0.6,0.4
20,39,32,0,31,21,20,32,0,21,3: Predominantly Sikh,0.4,1.667,7,3,1.666667,2.5,11.66667,17.5,0.6,0.4
21,36,32,0,29,40,21,32,0,40,1: Predominantly Hindu,0.6,2.5,4,1,2.5,1.666667,10,6.666667,0.4,0.6
22,27,32,0,28,34,22,27,1,34,1: Predominantly Hindu,0.6,1.667,-5,1,2.5,1.666667,-12.5,-8.333333,0.4,0.6
23,33,32,1,35,36,23,32,0,36,1: Predominantly Hindu,0.6,2.5,1,1,2.5,1.666667,2.5,1.666667,0.4,0.6
24,37,35,1,28,37,24,37,1,37,2: Predominantly Muslim,0.5,2,2,2,2,2,4,4,0.5,0.5
25,48,35,0,41,48,25,35,0,48,2: Predominantly Muslim,0.5,2,13,2,2,2,26,26,0.5,0.5
26,39,37,1,37,46,26,39,1,46,3: Predominantly Sikh,0.4,2.5,2,3,1.666667,2.5,3.333333,5,0.6,0.4
27,42,38,1,32,25,27,42,1,25,1: Predominantly Hindu,0.6,1.667,4,1,2.5,1.666667,10,6.666667,0.4,0.6
28,37,38,1,37,21,28,37,1,21,1: Predominantly Hindu,0.6,1.667,-1,1,2.5,1.666667,-2.5,-1.666667,0.4,0.6
29,53,41,0,36,19,29,41,0,19,1: Predominantly Hindu,0.6,2.5,12,1,2.5,1.666667,30,20,0.4,0.6
30,50,42,1,44,44,30,42,0,44,2: Predominantly Muslim,0.5,2,8,2,2,2,16,16,0.5,0.5
31,51,43,1,48,50,31,51,1,50,2: Predominantly Muslim,0.5,2,8,2,2,2,16,16,0.5,0.5
32,43,44,1,43,48,32,44,0,48,2: Predominantly Muslim,0.5,2,-1,2,2,2,-2,-2,0.5,0.5
33,55,45,1,55,46,33,45,0,46,1: Predominantly Hindu,0.6,2.5,10,1,2.5,1.666667,25,16.66667,0.4,0.6
34,49,47,0,53,47,34,49,1,47,1: Predominantly Hindu,0.6,1.667,2,1,2.5,1.666667,5,3.333333,0.4,0.6
35,48,48,0,51,47,35,48,1,47,1: Predominantly Hindu,0.6,1.667,0,1,2.5,1.666667,0,0,0.4,0.6
36,52,51,1,43,39,36,52,1,39,2: Predominantly Muslim,0.5,2,1,2,2,2,2,2,0.5,0.5
37,59,52,0,57,50,37,52,0,50,2: Predominantly Muslim,0.5,2,7,2,2,2,14,14,0.5,0.5
38,52,52,0,51,46,38,52,1,46,2: Predominantly Muslim,0.5,2,0,2,2,2,0,0,0.5,0.5
39,55,57,1,49,54,39,55,1,54,2: Predominantly Muslim,0.5,2,-2,2,2,2,-4,-4,0.5,0.5
40,63,62,1,55,42,40,62,0,42,2: Predominantly Muslim,0.5,2,1,2,2,2,2,2,0.5,0.5
