Observation,y1,y0,D,x,x_weak
1,5,5,0,6,25
2,15,5,1,8,12
3,12,6,1,5,25
4,19,9,0,13,27
5,17,10,0,9,10
6,18,11,0,15,24
7,24,12,0,16,21
8,11,13,0,17,25
9,16,14,0,19,35
10,25,19,1,23,28
11,18,20,1,28,41
12,21,20,0,28,38
13,17,20,0,9,30
14,24,21,1,16,20
15,27,24,1,23,24
16,26,25,0,15,26
17,30,27,1,23,22
18,37,27,0,33,34
19,43,30,1,42,37
20,39,32,0,31,21
21,36,32,0,29,40
22,27,32,0,28,34
23,33,32,1,35,36
24,37,35,1,28,37
25,48,35,0,41,48
26,39,37,1,37,46
27,42,38,1,32,25
28,37,38,1,37,21
29,53,41,0,36,19
30,50,42,1,44,44
31,51,43,1,48,50
32,43,44,1,43,48
33,55,45,1,55,46
34,49,47,0,53,47
35,48,48,0,51,47
36,52,51,1,43,39
37,59,52,0,57,50
38,52,52,0,51,46
39,55,57,1,49,54
40,63,62,1,55,42
