subject_chk,y,d2,xweak_chk,block,prob,wt
1,5,0,25,1: Predominantly Hindu,0.6,2.5
2,15,1,12,1: Predominantly Hindu,0.6,1.667
3,6,0,25,1: Predominantly Hindu,0.6,2.5
4,19,1,27,1: Predominantly Hindu,0.6,1.667
5,10,0,10,1: Predominantly Hindu,0.6,2.5
6,11,0,24,3: Predominantly Sikh,0.4,1.667
7,24,1,21,1: Predominantly Hindu,0.6,1.667
8,11,1,25,1: Predominantly Hindu,0.6,1.667
9,16,1,35,1: Predominantly Hindu,0.6,1.667
10,25,1,28,1: Predominantly Hindu,0.6,1.667
11,18,1,41,1: Predominantly Hindu,0.6,1.667
12,20,0,38,3: Predominantly Sikh,0.4,1.667
13,20,0,30,1: Predominantly Hindu,0.6,2.5
14,24,1,20,1: Predominantly Hindu,0.6,1.667
15,24,0,24,1: Predominantly Hindu,0.6,2.5
16,26,1,26,1: Predominantly Hindu,0.6,1.667
17,30,1,22,1: Predominantly Hindu,0.6,1.667
18,27,0,34,1: Predominantly Hindu,0.6,2.5
19,43,1,37,3: Predominantly Sikh,0.4,2.5
20,32,0,21,3: Predominantly Sikh,0.4,1.667
21,32,0,40,1: Predominantly Hindu,0.6,2.5
22,27,1,34,1: Predominantly Hindu,0.6,1.667
23,32,0,36,1: Predominantly Hindu,0.6,2.5
24,37,1,37,2: Predominantly Muslim,0.5,2
25,35,0,48,2: Predominantly Muslim,0.5,2
26,39,1,46,3: Predominantly Sikh,0.4,2.5
27,42,1,25,1: Predominantly Hindu,0.6,1.667
28,37,1,21,1: Predominantly Hindu,0.6,1.667
29,41,0,19,1: Predominantly Hindu,0.6,2.5
30,42,0,44,2: Predominantly Muslim,0.5,2
31,51,1,50,2: Predominantly Muslim,0.5,2
32,44,0,48,2: Predominantly Muslim,0.5,2
33,45,0,46,1: Predominantly Hindu,0.6,2.5
34,49,1,47,1: Predominantly Hindu,0.6,1.667
35,48,1,47,1: Predominantly Hindu,0.6,1.667
36,52,1,39,2: Predominantly Muslim,0.5,2
37,52,0,50,2: Predominantly Muslim,0.5,2
38,52,1,46,2: Predominantly Muslim,0.5,2
39,55,1,54,2: Predominantly Muslim,0.5,2
40,62,0,42,2: Predominantly Muslim,0.5,2
