observation,y_0,y_1,d_0,d_1,z,wt,subject_type
1,0,0,1,1,0,100,always-takers
2,0,1,1,1,0,100,always-takers
3,1,0,1,1,0,100,always-takers
4,1,1,1,1,0,300,always-takers
5,0,0,1,1,1,100,always-takers
6,0,1,1,1,1,100,always-takers
7,1,0,1,1,1,100,always-takers
8,1,1,1,1,1,300,always-takers
9,0,0,0,1,0,125,compliers
10,0,1,0,1,0,55,compliers
11,1,0,0,1,0,5,compliers
12,1,1,0,1,0,65,compliers
13,0,0,0,1,1,125,compliers
14,0,1,0,1,1,55,compliers
15,1,0,0,1,1,5,compliers
16,1,1,0,1,1,65,compliers
17,0,0,1,0,0,0,defiers
18,0,1,1,0,0,0,defiers
19,1,0,1,0,0,0,defiers
20,1,1,1,0,0,0,defiers
21,0,0,1,0,1,0,defiers
22,0,1,1,0,1,0,defiers
23,1,0,1,0,1,0,defiers
24,1,1,1,0,1,0,defiers
25,0,0,0,0,0,100,never-takers
26,0,1,0,0,0,25,never-takers
27,1,0,0,0,0,0,never-takers
28,1,1,0,0,0,25,never-takers
29,0,0,0,0,1,100,never-takers
30,0,1,0,0,1,25,never-takers
31,1,0,0,0,1,0,never-takers
32,1,1,0,0,1,25,never-takers
