"","vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
"1",0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"2",0,0,1,1,1,10,0,1,39,54,1,54,54,39,39
"3",0,0,1,1,1,10,0,1,42,41,1,41,41,42,42
"4",0,0,1,1,1,10,1,1,45,52,1,52,52,45,45
"5",0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"6",0,0,1,1,1,10,1,1,50,54,1,54,54,50,50
"7",0,0,1,1,1,10,1,1,34,41,1,41,41,34,35.0000038146973
"8",0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"9",0,0,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"10",0,0,1,1,1,10,1,1,43,36,1,36,40,43,43
"11",0,0,1,1,1,10,1,1,42,44,1,44,44,42,42
"12",0,0,1,1,1,10,1,1,35,47,1,47,47,35,35.0000038146973
"13",0,1,1,1,1,10,1,1,37,47,1,47,47,37,37
"14",0,1,1,1,1,10,1,1,45,54,1,54,54,45,45
"15",0,1,1,1,1,10,1,1,35,47,1,47,47,35,35.0000038146973
"16",0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"17",0,1,1,0,1,10,1,1,45,44,0,44,44,45,45
"18",0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"19",0,1,0,0,0,10,1,1,0,0,0,32,40,32,35.0000038146973
"20",0,1,1,1,1,10,1,1,45,52,1,52,52,45,45
"21",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"22",0,0,1,1,1,11,1,1,37,47,1,47,47,37,37
"23",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"24",0,0,1,1,1,11,1,1,42,46,1,46,46,42,42
"25",0,0,1,1,1,11,0,1,35,38,1,38,40,35,35.0000038146973
"26",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"27",0,0,1,1,1,11,1,1,37,54,1,54,54,37,37
"28",0,0,1,1,1,11,1,1,40,58,1,58,58,40,40
"29",0,0,1,1,1,11,1,1,42,52,1,52,52,42,42
"30",0,0,1,1,1,11,1,1,52,56,1,56,56,52,52
"31",0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
"32",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"33",0,0,1,1,1,11,1,1,37,44,1,44,44,37,37
"34",0,0,1,1,1,11,1,1,39,36,1,36,40,39,39
"35",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"36",0,0,1,1,1,11,1,1,47,51,1,51,51,47,47
"37",0,0,1,1,1,11,0,1,47,48,1,48,48,47,47
"38",0,0,1,1,1,11,1,1,40,47,1,47,47,40,40
"39",0,0,1,1,1,11,1,1,42,50,1,50,50,42,42
"40",0,0,1,1,0,11,1,1,43,44,0,44,44,43,43
"41",0,0,1,1,0,11,1,1,45,36,0,36,40,45,45
"42",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"43",0,0,1,1,1,11,1,1,43,52,1,52,52,43,43
"44",0,0,1,1,1,11,1,1,48,48,1,48,48,48,48
"45",0,0,1,1,1,11,1,1,39,47,1,47,47,39,39
"46",0,0,1,1,1,11,1,1,39,43,1,43,43,39,39
"47",0,0,1,1,1,11,1,1,40,48,1,48,48,40,40
"48",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"49",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"50",0,0,1,0,1,11,0,1,47,48,0,48,48,47,47
"51",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"52",0,0,1,1,1,11,1,1,47,47,1,47,47,47,47
"53",0,0,1,1,1,11,1,1,43,54,1,54,54,43,43
"54",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"55",0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
"56",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"57",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"58",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"59",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"60",0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
"61",0,0,1,1,0,11,1,1,43,41,0,41,41,43,43
"62",0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
"63",0,0,1,1,1,11,1,1,42,55,1,55,55,42,42
"64",0,0,1,1,1,11,1,1,43,56,1,56,56,43,43
"65",0,0,1,1,1,11,0,1,47,46,1,46,46,47,47
"66",0,0,1,1,1,11,1,1,43,47,1,47,47,43,43
"67",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"68",0,0,1,1,1,11,1,1,53,36,1,36,40,53,53
"69",0,0,1,1,1,11,1,1,48,48,1,48,48,48,48
"70",0,0,1,1,1,11,1,1,43,51,1,51,51,43,43
"71",0,0,1,1,1,11,1,1,45,51,1,51,51,45,45
"72",0,0,1,1,1,11,1,1,45,47,1,47,47,45,45
"73",0,0,1,1,1,11,1,1,35,46,1,46,46,35,35.0000038146973
"74",0,0,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
"75",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"76",0,0,1,1,1,11,1,1,52,50,1,50,50,52,52
"77",0,0,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
"78",0,0,1,1,1,11,1,1,34,36,1,36,40,34,35.0000038146973
"79",0,0,1,1,1,11,1,1,39,51,1,51,51,39,39
"80",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"81",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"82",0,0,1,1,1,11,1,1,43,43,1,43,43,43,43
"83",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"84",0,0,1,1,0,11,1,1,34,50,0,50,50,34,35.0000038146973
"85",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"86",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"87",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"88",0,0,1,1,1,11,1,1,42,32,1,32,40,42,42
"89",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"90",0,0,1,1,1,11,1,1,47,48,1,48,48,47,47
"91",0,0,1,1,1,11,1,1,50,61,1,61,61,50,50
"92",0,0,1,1,1,11,1,1,42,51,1,51,51,42,42
"93",0,0,1,0,1,11,1,1,42,47,0,47,47,42,42
"94",0,0,1,1,1,11,1,1,39,52,1,52,52,39,39
"95",0,0,1,1,1,11,1,1,30,46,1,46,46,32,35.0000038146973
"96",0,0,1,1,1,11,1,1,39,58,1,58,58,39,39
"97",0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
"98",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"99",0,0,1,1,0,11,1,1,43,43,0,43,43,43,43
"100",0,0,1,1,1,11,1,1,39,47,1,47,47,39,39
"101",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"102",0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
"103",0,0,1,1,1,11,1,1,43,38,1,38,40,43,43
"104",0,0,1,1,1,11,1,1,35,48,1,48,48,35,35.0000038146973
