no,coord1,coord2,propscore-Y10,Y00,Y10,numpnear,treatment,Y
31,-1.377,-0.387,0.333,2,7,1,10,7
32,0.313,-0.81,0.333,3,8,1,10,8
33,1.121,-0.866,0.333,1,6,1,10,6
34,0.472,0.702,0.823,7,12,4,10,12
35,1.128,-0.168,0.333,3,8,1,10,8
36,0.678,-0.754,0.333,2,7,1,10,7
37,1.51,-0.054,0,4,9,0,0,4
38,2.061,-0.639,0.563,2,7,2,10,7
39,-0.65,-0.155,0.333,5,10,1,10,10
40,-1.324,1.571,0.334,1,6,1,10,6
41,0.659,1.201,0.333,5,10,1,10,10
42,-0.221,-0.852,0.891,6,11,5,10,11
43,-0.962,0.899,0,2,7,0,0,2
44,0.187,-0.007,0.563,4,9,2,10,9
45,0.012,-0.816,0.563,5,10,2,10,10
46,0.712,0.422,0.823,6,11,4,10,11
47,-0.754,0.564,0.333,2,7,1,10,7
48,0.038,1.292,0.563,3,8,2,10,8
49,1.178,-0.523,0.333,2,7,1,10,7
50,-0.153,1.506,0.563,2,7,2,10,7
51,-0.162,0.553,0.333,4,9,1,10,9
52,1.46,-0.102,0,3,8,0,0,3
53,2.009,-0.051,0.333,3,8,1,10,8
54,-0.078,-2.474,0.333,1,6,1,10,6
55,1.354,-0.65,0.333,2,7,1,10,7
56,-1.027,-1.154,0,5,10,0,0,5
57,-1.041,1.548,0,1,6,0,0,1
58,-0.871,0.456,0.333,2,7,1,10,7
59,0.853,-1.137,0,1,6,0,0,1
60,-0.623,0.65,0,3,8,0,0,3
61,1.216,-0.211,0.333,2,7,1,10,7
62,-1.621,0.477,0,2,7,0,0,2
63,-0.069,-1.459,0.333,3,8,1,10,8
64,-0.063,1.789,0,2,7,0,0,2
65,1.076,-0.134,0.563,3,8,2,10,8
66,1.129,2.032,0.333,1,6,1,10,6
67,0.45,0.314,0.891,6,11,5,10,11
68,0.051,0.131,0.333,4,9,1,10,9
69,-0.124,-0.943,0.823,6,11,4,10,11
70,0.912,2.929,0,1,6,0,0,1
71,0.21,1.162,0.719,4,9,3,10,9
72,-0.385,0.357,0.333,4,9,1,10,9
73,1.372,-0.942,0,2,7,0,0,2
74,0.159,-1.153,0.563,3,8,2,10,8
75,-0.205,-0.384,0.719,7,12,3,10,12
76,-0.852,0.01,0.563,4,9,2,10,9
77,-0.809,-1.046,0.891,5,10,5,10,10
78,0.533,-0.702,0.333,3,8,1,10,8
79,0.069,-0.297,0.563,5,10,2,10,10
80,-0.737,0.643,0.333,1,6,1,10,6
81,-0.469,-1.012,0.935,6,11,6,10,11
82,-0.675,-1.024,0.891,6,11,5,10,11
83,-0.74,-0.782,0.823,6,11,4,10,11
84,1.197,-2.689,0,0,5,0,0,0
85,0.378,-0.33,0.563,4,9,2,10,9
86,0.275,0.01,0.563,6,11,2,10,11
87,-0.904,-1.908,0,0,5,0,0,0
88,0.405,0.666,0.823,8,13,4,10,13
89,-0.239,0.367,0.719,3,8,3,10,8
90,1.074,-0.826,0.333,1,6,1,10,6
91,-0.315,1.933,0,0,5,0,0,0
92,0.107,-1.415,0,3,8,0,0,3
93,-0.542,0.529,0,3,8,0,0,3
94,-1.466,-2.439,0,1,6,0,0,1
95,-0.134,-0.822,0.823,6,11,4,10,11
96,1.291,0.145,0,5,10,0,0,5
97,-0.447,0.728,0,3,8,0,0,3
98,-0.63,-1.979,0,0,5,0,0,0
99,-0.581,-0.304,0.823,5,10,4,10,10
100,-2.32,0.721,0,0,5,0,0,0
101,-0.646,0.791,0,2,7,0,0,2
102,0.299,0.654,0.823,7,12,4,10,12
103,-0.438,0.18,0.333,4,9,1,10,9
104,-0.418,0.91,0,3,8,0,0,3
105,1.706,-0.765,0.333,2,7,1,10,7
106,0.41,0.731,0.891,7,12,5,10,12
107,1.282,-0.069,0,3,8,0,0,3
108,1.447,-0.039,0,4,9,0,0,4
109,3.104,2.258,0,0,5,0,0,0
110,0.584,-1.036,0,2,7,0,0,2
111,-0.255,-1.46,0.563,2,7,2,10,7
112,-0.911,-0.654,0.719,5,10,3,10,10
113,0.114,1.459,0.563,2,7,2,10,7
114,-1.048,-1.568,0,2,7,0,0,2
115,0.283,0.522,0.823,8,13,4,10,13
116,0.197,1.199,0.563,4,9,2,10,9
117,-0.253,1.253,0.563,3,8,2,10,8
118,0.999,-0.206,0.563,3,8,2,10,8
119,-0.108,0.408,0.563,4,9,2,10,9
120,2.209,-0.757,0.563,2,7,2,10,7
121,-1.683,-1.533,0.333,1,6,1,10,6
122,-0.79,0.897,0,2,7,0,0,2
123,0.593,-2.215,0.333,1,6,1,10,6
124,-0.131,0.49,0.333,4,9,1,10,9
125,1.424,0.543,0.563,7,12,2,10,12
126,-0.336,0.123,0.563,3,8,2,10,8
127,-0.168,0.105,0.563,3,8,2,10,8
128,-1.383,0.441,0.333,2,7,1,10,7
129,-0.289,0.256,0.563,3,8,2,10,8
130,-0.997,-0.518,0.719,5,10,3,10,10
