Hotspot,Num_Hotspots,PR00,PR10,Y00,Y10,Exposure,Y
31,2,0.66576,0.33424,2,7,10,7
32,3,0.66798,0.33202,3,8,0,3
33,1,0.66649,0.33351,1,6,0,1
34,7,0.17511,0.82489,7,12,0,7
35,3,0.66649,0.33351,3,8,0,3
36,2,0.66649,0.33351,2,7,0,2
37,4,1,0,4,9,0,4
38,2,0.43713,0.56287,2,7,10,7
39,5,0.66704,0.33296,5,10,10,10
40,1,0.66332,0.33668,1,6,0,1
41,5,0.66636,0.33364,5,10,0,5
42,6,0.10868,0.89132,6,11,10,11
43,2,1,0,2,7,0,2
44,4,0.43682,0.56318,4,9,10,9
45,5,0.43753,0.56247,5,10,0,5
46,6,0.17562,0.82438,6,11,10,11
47,2,0.66807,0.33193,2,7,0,2
48,3,0.43803,0.56197,3,8,0,3
49,2,0.66649,0.33351,2,7,0,2
50,2,0.43803,0.56197,2,7,0,2
51,4,0.66596,0.33404,4,9,0,4
52,3,1,0,3,8,0,3
53,3,0.66514,0.33486,3,8,0,3
54,1,0.66825,0.33175,1,6,10,6
55,2,0.66649,0.33351,2,7,0,2
56,5,1,0,5,10,0,5
57,1,1,0,1,6,0,1
58,2,0.66807,0.33193,2,7,0,2
59,1,1,0,1,6,0,1
60,3,1,0,3,8,0,3
61,2,0.66649,0.33351,2,7,0,2
62,2,1,0,2,7,0,2
63,3,0.66852,0.33148,3,8,0,3
64,2,1,0,2,7,0,2
65,3,0.43778,0.56222,3,8,10,8
66,1,0.66603,0.33397,1,6,0,1
67,6,0.10872,0.89128,6,11,10,11
68,4,0.66744,0.33256,4,9,10,9
69,6,0.1767,0.8233,6,11,10,11
70,1,1,0,1,6,0,1
71,4,0.28067,0.71933,4,9,0,4
72,4,0.66704,0.33296,4,9,10,9
73,2,1,0,2,7,0,2
74,3,0.43753,0.56247,3,8,0,3
75,7,0.28233,0.71767,7,12,10,12
76,4,0.43833,0.56167,4,9,10,9
77,5,0.10961,0.89039,5,10,10,10
78,3,0.66649,0.33351,3,8,0,3
79,5,0.43884,0.56116,5,10,10,10
80,1,0.66807,0.33193,1,6,0,1
81,6,0.06551,0.93449,6,11,10,11
82,6,0.10961,0.89039,6,11,10,11
83,6,0.17592,0.82408,6,11,10,11
84,0,1,0,0,5,0,0
85,4,0.43682,0.56318,4,9,10,9
86,6,0.43682,0.56318,6,11,10,11
87,0,1,0,0,5,0,0
88,8,0.17511,0.82489,8,13,0,8
89,3,0.28091,0.71909,3,8,10,8
90,1,0.66649,0.33351,1,6,0,1
91,0,1,0,0,5,0,0
92,3,1,0,3,8,0,3
93,3,1,0,3,8,0,3
94,1,1,0,1,6,0,1
95,6,0.1767,0.8233,6,11,10,11
96,5,1,0,5,10,0,5
97,3,1,0,3,8,0,3
98,0,1,0,0,5,0,0
99,5,0.1774,0.8226,5,10,10,10
100,0,1,0,0,5,0,0
101,2,1,0,2,7,0,2
102,7,0.17601,0.82399,7,12,0,7
103,4,0.66704,0.33296,4,9,10,9
104,3,1,0,3,8,0,3
105,2,0.66929,0.33071,2,7,10,7
106,7,0.10826,0.89174,7,12,0,7
107,3,1,0,3,8,0,3
108,4,1,0,4,9,0,4
109,0,1,0,0,5,0,0
110,2,1,0,2,7,0,2
111,2,0.43695,0.56305,2,7,10,7
112,5,0.27995,0.72005,5,10,0,5
113,2,0.43803,0.56197,2,7,0,2
114,2,1,0,2,7,0,2
115,8,0.17653,0.82347,8,13,10,13
116,4,0.43803,0.56197,4,9,0,4
117,3,0.43803,0.56197,3,8,0,3
118,3,0.43778,0.56222,3,8,10,8
119,4,0.43689,0.56311,4,9,10,9
120,2,0.43713,0.56287,2,7,10,7
121,1,0.66422,0.33578,1,6,0,1
122,2,1,0,2,7,0,2
123,1,0.66825,0.33175,1,6,10,6
124,4,0.66596,0.33404,4,9,0,4
125,7,0.43665,0.56335,7,12,10,12
126,3,0.43724,0.56276,3,8,10,8
127,3,0.43724,0.56276,3,8,10,8
128,2,0.66807,0.33193,2,7,0,2
129,3,0.43724,0.56276,3,8,10,8
130,5,0.27995,0.72005,5,10,0,5
