,name_numbers,author,holding,lawyers_judge
Apple Inc v International Trade Com'n,"[""Apple Inc. v. International Trade Com'n, 725 F.3d 1356 (2013)""]","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1]  substantial  evidence  supported  ITC's  determination  that  disclosure  in  provisional  patent  application  provided\nadequate written support for touchscreen-related patent that allegedly anticipated claims of patentee's patent;\n\n[2] anticipation finding, based upon purported incorporation by reference, lacked substantial evidence;\n\n[3]  substantial  evidence  supported  finding  that  prior  art  anticipated  claims  of  patent  disclosing  touch  panel  with\ntransparent capacitive sensing medium capable of detecting multiple touches at once;\n\n[4]  substantial  evidence  supported  finding  of  no  anticipation  of  patent  claim  disclosing  how  to  make  touchscreen\ntransparent;\n\n[5] ITC's failure to evaluate secondary considerations evidence before making obviousness determination warranted\nvacating obviousness decision;\n\n[6] ITC's failure to evaluate secondary considerations evidence was not harmless error; and\n\n[7] as used in patent disclosing method to determine whether displaced charge at touchscreen nodes corresponded to finger\ntouching screen, term “mathematically fitting an ellipse” required software to mathematically fit an ellipse to the data.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cApple Inc. v. International Trade Com'n, 725 F.3d 1356 (2013)\n35 ITRD 1921, 107 U.S.P.Q.2d 1864\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\nReyna, Circuit Judge, filed a separate opinion concurring in part and dissenting in part.\n\n""]","[""\n\n*1359  E. Joshua Rosenkranz, Orrick, Herrington & Sutcliffe, LLP, of New York, NY, argued for the appellant. With\nhim on the brief were Mark S. Davies, Rachel M. McKenzie and T. Vann Pearce, Jr., of Washington, DC.\n\nMegan M. Valentine, Attorney Advisor, Office of General Counsel, United States International Trade Commission, of\nWashington, DC, argued for appellee. With her on the brief were Dominic L. Bianchi, Acting General Counsel, and\nAndrea C. Casson, Assistant General Counsel for Litigation.\n\nDavid A. Nelson, Quinn Emanuel Urquhart & Sullivan LLP, of Chicago, IL, argued for intervenor. With him on the\nbrief were Charles K. Verhoeven, of San Francisco, CA. Of counsel on the brief were Edward J. Defranco, Alexander\nRudis and Matthew A. Traupman, of New York, NY.\n\nBefore MOORE, LINN, and REYNA, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n5\n\n\x0cApple Inc. v. International Trade Com'n, 725 F.3d 1356 (2013)\n35 ITRD 1921, 107 U.S.P.Q.2d 1864\n\n""]"
Regeneron Pharmaceuticals Inc v Merus NV,"['Regeneron Pharmaceuticals, Inc. v. Merus N.V., 878 F.3d 1041 (2017)']",[],[],[]
Joseph Phelps Vineyards LLC v Fairmont Holdings LLC,"['Joseph Phelps Vineyards, LLC v. Fairmont Holdings, LLC, 857 F.3d 1323 (2017)']",[],"['s, LLC, 857 F.3d 1323 (2017)\n122 U.S.P.Q.2d 1733\n\n857 F.3d 1323\n\nUnited States Court of Appeals,\n\nFederal Circuit.\n\nJOSEPH PHELPS VINEYARDS, LLC, Appellant\n\nv.\n\nFAIRMONT HOLDINGS, LLC, Appellee\n\n2016-1089\n\n|\n\nDecided: May 24, 2017\n\nSynopsis\nBackground: Owner of trademark “INSIGNIA” used for wines sought review of decision of Trademark Trial and Appeal\nBoard (TTAB) denying its petition for cancellation of trademark “ALEC BRADLEY STAR INSIGNIA” used for\ncigars.\n\n[Holding:]  The  Court  of  Appeals  held  that  TTAB  applied  incorrect  all-or-nothing  measure  of  whether  trademark\n“INSIGNIA” used for wines was famous in reaching conclusion that there was no likelihood of confusion as to source.\n\nVacated and remanded.\n\nNewman, Circuit Judge, wrote concurring opinion.\n\n']","['\n\nTHOMAS SCHNECK, Law Offices of Thomas Schneck, San Jose, CA, for appellant.\n\nKIMBERLY KOLBACK, Law Office of Kimberly Kolback, Miami, FL, for appellee. Also represented by MIRIAM\nRICHTER, Richter Trademarks, PL, Wilton Manors, FL.\n\nBefore Newman, Dyk, and Wallach, Circuit Judges.\n\n']"
Commonwealth Scientific and Indus Research Organisation v Cisco Systems In,"['Commonwealth Scientific and Indus. Research Organisation v...., 809 F.3d 1295 (2015)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge, held that:\n\n[1] district court did not violate apportionment principles in employing damages model to value asserted patent by taking\naccount of parties' informal licensing negotiations with respect to it in multi-component end product;\n\n[2] determination of reasonable royalty for patent infringement damages award had to account for value accruing to\nadoption of patent's standard-essential status; and\n\n[3] court had to take license agreement into account in its analysis of damages for infringement.\n\nVacated and remanded.\n\n""]","[""\n\n*1297  Michael Ng, Kobre & Kim LLP, San Francisco, CA, argued for plaintiff-appellee. Also represented by Daniel\nAmon Zaheer; Benjamin Jeffrey Aaron Sauter, New York, N.Y.; Michael F. Heim, Miranda Y. Jones, Heim, Payne &\nChorush, LLP, Houston, TX; Frederick Michaud, Capshaw DeRieux LLP, Washington, DC; James Wagstaffe, Michael\nJohn Von Loewenfeldt, Kerr & Wagstaffe, LLP, San Francisco, CA.\n\nJohn C. O'Quinn, Kirkland & Ellis LLP, Washington, DC, argued for defendant-appellant. Also represented by Jason\nM. Wilcox; L. Norwood Jameson, Jennifer H. Forte, Alison Haddock Hutton, Matthew Yungwirth, Duane Morris\nLLP, Atlanta, GA.\n\nMark S. Davies, Orrick, Herrington & Sutcliffe LLP, Washington, DC, for amicus curiae Apple Inc. Also represented\nby Brian Philip Goldman, San Francisco, CA.\n\nLauren B. Fletcher, Wilmer Cutler Pickering Hale and Dorr LLP, Boston, MA, for amici curiae Intel Corporation, Dell\nInc., Hewlett–Packard Company. Also represented by Rebecca A. Bact, William F. Lee, Joseph J. Mueller; Kenneth\nHugh Merber, Washington, DC.\n\nMike  McKool,  McKool  Smith,  P.C.,  Dallas,  TX,  for  amicus  curiae  Ericsson  Inc.  Also  represented  by  Theodore\nStevenson III; John Bruce Campbell, Joel Lance Thollander, Austin, TX.\n\nDemetrius Tennell Lockett, Townsend & Lockett, LLC, Atlanta, GA, for amici curiae Nokia Corporation, Nokia USA,\nInc.\n\nRoger Brooks, Cravath Swaine & Moore LLP, New York, N.Y., for amicus curiae Qualcomm Incorporated.\n\nAlexandra  McTague,  Winston  &  Strawn  LLP,  Menlo  Park,  CA,  for  amicus  curiae  Aruba  Networks,  Inc.  Also\nrepresented by David Spencer Bloch, San Francisco, CA.\n\nBefore PROST, Chief Judge, DYK and HUGHES, Circuit Judges.\n\n""]"
Radio Systems Corp v Lalor,"['Radio Systems Corp. v. Lalor, 709 F.3d 1124 (2013)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] manufacturer's products did not infringe competitor's patent;\n\n[2] district court did not abuse its discretion in concluding that equitable estoppel barred patentee's infringement claims\nwith regard to first patent; and\n\n[3] district court abused its discretion in concluding that equitable estoppel barred patentee's infringement claims with\nregard to second patent.\n\nAffirmed in part, reversed in part, and remanded.\n\nNewman, Circuit Judge, concurred in part, dissented in part, and filed opinion.\n\n""]","['\n\n*1125  R. Bradford Brittian, Merchant & Gould, P.C., of Alcoa, TN, argued for plaintiffs-appellees. With him on the\nbrief was John T. Winemiller. Of counsel was Matthew J. Stark.\n\nPhilip P. Mann, Mann Law Group, of Seattle, WA, argued for defendants-appellants. With him on the brief was John\nWhitaker, Whitaker Law Group, of Seattle, WA.\n\nBefore NEWMAN, MOORE, and REYNA, Circuit Judges.\n\n']"
GE Lighting Solutions LLC v AgiLight Inc,"['GE Lighting Solutions, LLC v. AgiLight, Inc., 750 F.3d 1304 (2014)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] “insulation displacement connector” (IDC) within meaning of patents for LED string lights was required to be given\nmeaning commonly used in electrical engineering to connote a range of devices;\n\n[2] “substantially ellipsoidal inner profile” within meaning of patent disclosing an optical element housing a LED did\nnot require the entire inner profile to be substantially ellipsoidal;\n\n[3] genuine issue of material fact as to whether manufacturer's housing was “substantially ellipsoidal” precluded summary\njudgment; and\n\n[4] manufacturer's dome–shaped lens used to protect LED during molding process was not an “annular gasket” within\nmeaning of patent.\n\nAffirmed in part, reversed in part, and remanded.\n\nReyna, Circuit Judge, filed opinion concurring in part and dissenting in part.\n\n""]","['\n\n*1307  Richard L. Rainey, Executive Counsel, IP Litigation, General Electric Company, of Fairfield, CT, argued for\nplaintiff-appellant. With him on the brief were Robert J. McAughan, Jr. and Jeffrey A. Andrews, Sutton McAughan\nDeaver PLLC, of Houston, TX.\n\nJonathan D. Pauerstein, Rosenthal Pauerstein Sandoloski Agather LLP, of San Antonio, TX, argued for defendant-\nappellee. With him on the brief were Harry D. Cornett, Jr. and Benjamin C. Sassé, Tucker Ellis LLP, of Cleveland, OH.\n\nBefore RADER, Chief Judge, MOORE and REYNA, Circuit Judges.\n\n']"
United Construction Products Inc v Tile Tech Inc,"['United Construction Products, Inc. v. Tile Tech, Inc., 843 F.3d 1363 (2016)']","[' Wallach, Circuit']","[""s: The Court of Appeals, Wallach, Circuit Judge, held that:\n\n[1] it was within district court's discretion to enter default judgment in favor of patent owner as sanction, and\n\n[2] permanent injunction prohibiting defendant from any and all acts of infringement was not overly broad.\n\nAffirmed.\n\n""]","['\n\nDAVID  VON  GUNTEN,  von  Gunten  Law  LLC,  Denver,  CO,  argued  for  plaintiff-appellee.  Also  represented  by\nMICHELLE CORRELL, Smith Correll LLP, Los Angeles, CA.\n\nKELLY W. CUNNINGHAM, Cislo & Thomas LLP, Los Angeles, CA, argued for defendant-appellant.\n\nBefore Moore, Wallach, and Stoll, Circuit Judges.\n\n']"
Rosebud LMS Inc v Adobe Systems Inc,"['Rosebud LMS Inc. v. Adobe Systems Inc., 812 F.3d 1070 (2016)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] as a matter of first impression, the actual notice requirement for pre-issuance damages did not require an affirmative\nact by the patent applicant giving notice of published patent application to the alleged infringer;\n\n[2] fact that alleged infringer knew of patentee's grandparent patent did not establish that alleged infringer had actual\nnotice of the published patent application, for purposes of pre-issuance damages;\n\n[3]  there  was  no  evidence  that  alleged  infringer  had  actual  knowledge  of  patentee's  published  patent  application,  as\nrequired for pre-issuance damages; and\n\n[4] district court acted within its discretion in granting summary judgment before completion of discovery.\n\nAffirmed.\n\n""]","['\n\n*1072   Justin  Chen,  Ahmad,  Zavitsanos,  Anaipakos,  Alavi  &  Mensing  P.C.,  Houston,  TX,  argued  for  plaintiff-\nappellant. Also represented by Jane Langdell Robinson; Andrew W. Spangler, Spangler Law PC, Longview, TX.\n\nMichael Berta, Arnold & Porter LLP, San Francisco, CA, argued for defendant-appellee. Also represented by Maulik\nGirish Shah.\n\nBefore MOORE, HUGHES, and STOLL, Circuit Judges.\n\n']"
Norgren Inc v International Trade Com'n,"[""Norgren Inc. v. International Trade Com'n, 699 F.3d 1317 (2012)""]","[' Linn, Circuit']","['s: The Court of Appeals, Linn, Circuit Judge, held that:\n\n[1] substantial evidence supported finding that patent was obvious;\n\n[2] substantial evidence supported finding that modification of prior art four-sided clamp with hinged side would have\nbeen obvious to person having ordinary skill in the art;\n\n[3] prior art patent that had been directed to water pipes did not teach away from clamp claimed in patent; and\n\n[4] substantial evidence supported finding that secondary considerations did not undercut conclusion that patent was\nobvious.\n\nAffirmed.\n\nMoore, Circuit Judge, filed dissenting opinion.\n\n']","['\n\n*1319  Carl F. Manthei, The Ollila Law Group LLC, of Lafayette, CO, argued for appellant. With him on the brief\nwas Curtis J. Ollila.\n\nMark B. Rees, Attorney, Office of the General Counsel, United States International Trade Commission, of Washington,\nDC. With him on the brief were James M. Lyons, General Counsel, and Andrea C. Casson, Assistant General Counsel\nfor Litigation.\n\n*1320  Arthur I. Neustadt, Oblon, Spivak, McClelland, Maier & Neustadt, L.L.P., of Alexandria, Virginia, argued for\nintervenors. With him on the brief were Thomas J. Fisher, Barry J. Herman and Eric W. Schweibenz.\n\nBefore LOURIE, LINN, and MOORE, Circuit Judges.\n\n']"
UltimatePointer LLC v Nintendo Co Ltd,"['UltimatePointer, L.L.C. v. Nintendo Co., Ltd., 816 F.3d 816 (2016)']","[' Lourie, Circuit']","['s: The Court of Appeals, Lourie, Circuit Judge., held that:\n\n[1] district court properly construed “handheld device”;\n\n[2] accused device was an indirect, not a direct pointing device, and so did not infringe patent; and\n\n[3] apparatus claims were not invalid as indefinite.\n\nAffirmed in part and reversed in part.\n\n']","['\n\n*818   Charles  John  Rogers,  Conley  Rose,  P.C.,  Houston,  TX,  argued  for  plaintiff-appellant.  Also  represented  by\nGregory Loren Maag, Thomas Warden, Michael James Guthrie.\n\nJerry  A.  Riedinger,  Perkins  Coie,  LLP,  Seattle,  WA,  argued  for  defendants-appellees.  Also  represented  by  Tyler  C.\nPeterson; Mark Christopher Nelson, Steven M. Geiszler, Richard Salgado, Dentons U.S. LLP, Dallas, TX.\n\nBefore LOURIE, DYK, and WALLACH, Circuit Judges.\n\n']"
