case_number	name	date	file_name	court_list	court_type	decision	author	judge_panel
813 F.3d 1368	Nuance Communications Inc v ABBYY USA Software House Inc	2016-02-22	052 - Nuance Communications Inc v ABBYY USA Software House Inc	Northern District of California	Federal District Court	"AFFIRMED
"	Prost	"Before PROST, Chief Judge, DYK and CHEN, Circuit Judges.
"
850 F.3d 1315	Intellectual Ventures I LLC v Erie Indemnity Company	2017-03-07	021 - Intellectual Ventures I LLC v Erie Indemnity Company	Western District of Pennsylvania	Federal District Court	"AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED-IN-PART
"	Prost	"Before Prost, Chief Judge, Wallach and Chen, Circuit Judges.
"
672 F.3d 1041	Sioux Honey Ass'n v Hartford Fire Ins Co	2012-02-07	040 - Sioux Honey Ass'n v Hartford Fire Ins Co	United States Court of International Trade	Federal Court	"AFFIRMED–IN–PART AND VACATED–IN–PART
"	Prost	"Before RADER, Chief Judge, LOURIE and PROST, Circuit Judges.
"
713 F.3d 1377	Aspex Eyewear Inc v Zenni Optical Inc	2013-04-19	021 - Aspex Eyewear Inc v Zenni Optical Inc	Southern District of Florida	Federal District Court	"AFFIRMED
"	Newman	"Before NEWMAN, PROST, and REYNA, Circuit Judges.
"
728 F.3d 1332	Soverain Software LLC v Newegg Inc	2013-09-04	056 - Soverain Software LLC v Newegg Inc	Eastern District of Texas	Federal District Court	"REHEARING GRANTED; JUDGMENT AMENDED
"	Newman 	"Before NEWMAN, PROST, and REYNA, Circuit Judges.
"
751 F.3d 1355	In re Geller	2014-05-13	100 - In re Geller	Trademark Trial and Appeal Board	Federal Court	"AFFIRMED
"	Wallach	"Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
"
724 F.3d 1367	Boeri v US	2013-02-01	08 - Boeri v US	United States Court of Federal Claims	Federal Court	"AFFIRMED
"	Clevenger	"Before NEWMAN, CLEVENGER, and MOORE, Circuit Judges.
"
815 F.3d 1356	Harmonic Inc v Avid Technology Inc	2016-03-01	080 - Harmonic Inc v Avid Technology Inc	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Stoll	"Before CHEN, MAYER, and STOLL, Circuit Judges.
"
826 F.3d 1366	Ethicon EndoSurgery Inc v Covidien LP	2016-06-22	095 - Ethicon EndoSurgery Inc v Covidien LP	Patent Trial and Appeal Board	Federal Court	"The petition for rehearing en banc is denied.
"	Newman	"Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O 'Malley, Reyna, Wallach, Taranto, Chen, and Hughes,
Circuit Judges. *
"
788 F.3d 1359	OIP Technologies Inc v Amazoncom Inc	2015-06-11	039 - OIP Technologies Inc v Amazoncom Inc	Northern District of California	Federal District Court	"AFFIRMED
"	Hughes	"Before TARANTO, MAYER, and HUGHES, Circuit Judges.
"
790 F.3d 1298	Kaneka Corp v Xiamen Kingdomway Group Co	2015-06-10	051 - Kaneka Corp v Xiamen Kingdomway Group Co	Central District of California	Federal District Court	"AFFIRMED IN PART, VACATED IN PART, and REMANDED
"	Reyna	"Before NEWMAN, REYNA, and HUGHES, Circuit Judges. REYNA, Circuit Judge.
"
853 F.3d 1289	Novartis AG v Noven Pharmaceuticals Inc	2017-04-04	091 - Novartis AG v Noven Pharmaceuticals Inc	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Wallach	"Before Prost, Chief Judge, Wallach and Stoll, Circuit Judges.
"
753 F.3d 1253	In re Rambus Inc	2014-06-04	064 - In re Rambus Inc	Patent Trial and Appeal Board	Federal Court	"REVERSED
"	Reyna	"Before RADER, * MOORE and REYNA, Circuit Judges.
"
757 F.3d 1343	In re Dinsmore	2014-06-10	073 - In re Dinsmore	Patent Trial and Appeal Board	Federal Court	"AFFIRMED.
"	Taranto	"Before TARANTO, BRYSON, and HUGHES, Circuit Judges. TARANTO, Circuit Judge.
"
676 F.3d 1051	Memorylink Corp v Motorola Inc	2012-04-11	041 - Memorylink Corp v Motorola Inc	Northern District of Illinois	Federal District Court	"(2) The petition of Plaintiff–Appellant for rehearing en banc is denied.
"	O'MALLEY	"Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  BRYSON,  LINN,  DYK,  PROST,  MOORE,  O'MALLEY,
REYNA, and WALLACH, Circuit Judges.
"
755 F.3d 1356	CEATS Inc v Continental Airlines Inc	2014-06-24	075 - CEATS Inc v Continental Airlines Inc	Eastern District of Texas	Federal District Court	"AFFIRMED.
"	O'Malley	"Before PROST, *  Chief Judge, RADER, **  and O'MALLEY, Circuit Judges.
"
790 F.3d 1343	Internet Patents Corp v Active Network Inc	2015-06-23	075 - Internet Patents Corp v Active Network Inc	Northern District of California	Federal District Court	"AFFIRMED
"	Newman	"Before NEWMAN, MOORE, and REYNA, Circuit Judges.
"
797 F.3d 1039	JVC Kenwood Corp v Nero Inc	2015-08-17	072 - JVC Kenwood Corp v Nero Inc	Central District of California	Federal District Court	"AFFIRMED
"	Newman	"Before NEWMAN, DYK, and REYNA, Circuit Judges.
"
770 F.3d 1371	Williamson v Citrix Online LLC	2014-11-05	047 - Williamson v Citrix Online LLC	Central District of California	Federal District Court	"VACATED AND REMANDED
"	Linn	"Before MOORE, LINN, and REYNA, Circuit Judges. 1
"
854 F.3d 1364	Fairchild (Taiwan) Corporation v Power Integrations Inc	2017-04-21	085 - Fairchild (Taiwan) Corporation v Power Integrations Inc	Patent Trial and Appeal Board	Federal Court	"ON MOTION
"	Reyna	"Before Lourie, Moore, and Reyna, Circuit Judges.
"
793 F.3d 1306	Versata Development Group Inc v SAP America Inc	2015-07-09	078 - Versata Development Group Inc v SAP America Inc	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Plager	"Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
"
814 F.3d 1343	Luminara Worldwide LLC v Liown Electronics Co Ltd	2016-02-29	065 - Luminara Worldwide LLC v Liown Electronics Co Ltd	District of Minnesota	Federal District Court	"VACATED AND REMANDED
"	Moore	"Before MOORE, O'MALLEY, and TARANTO, Circuit Judges.
"
722 F.3d 1335	Ultramercial Inc v Hulu LLC	2013-06-21	051 - Ultramercial Inc v Hulu LLC	Central District of California	Federal District Court	"REVERSED AND REMANDED
"	Rader	"Before RADER, Chief Judge, LOURIE, and O'MALLEY, Circuit Judges.
"
719 F.3d 1305	Robert Bosch LLC v Pylon Mfg Corp	2013-06-14	007 - Robert Bosch LLC v Pylon Mfg Corp	District of Delaware	Federal District Court	Questions answered.	Moore	"Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  PROST,  MOORE,  O'MALLEY,  REYNA,  and
WALLACH, Circuit Judges. *
"
