	file_name	dates
0	052 - Nuance Communications Inc v ABBYY USA Software House Inc	Feb 22 2016
1	021 - Intellectual Ventures I LLC v Erie Indemnity Company	October 9 2018
2	040 - Sioux Honey Ass'n v Hartford Fire Ins Co	June 24 2013
3	021 - Aspex Eyewear Inc v Zenni Optical Inc	April 19 2013
4	056 - Soverain Software LLC v Newegg Inc	Sept 4 2013
5	100 - In re Geller	May 13 2014
6	08 - Boeri v US	July 31 2013
7	080 - Harmonic Inc v Avid Technology Inc	March 1 2016
8	095 - Ethicon EndoSurgery Inc v Covidien LP	June 22 2016
9	039 - OIP Technologies Inc v Amazoncom Inc	June 27 2016
10	051 - Kaneka Corp v Xiamen Kingdomway Group Co	June 10 2015
11	091 - Novartis AG v Noven Pharmaceuticals Inc	July 10 2018
12	064 - In re Rambus Inc	June 4 2014
13	073 - In re Dinsmore	June 10 2014
14	041 - Memorylink Corp v Motorola Inc	April 11 2012
15	075 - CEATS Inc v Continental Airlines Inc	June 24 2014
16	075 - Internet Patents Corp v Active Network Inc	May 12 2016
17	072 - JVC Kenwood Corp v Nero Inc	Aug 17 2015
18	047 - Williamson v Citrix Online LLC	June 16 2015
19	085 - Fairchild (Taiwan) Corporation v Power Integrations Inc	April 21 2017
20	078 - Versata Development Group Inc v SAP America Inc	April 5 2016
21	065 - Luminara Worldwide LLC v Liown Electronics Co Ltd	Feb 29 2016
22	051 - Ultramercial Inc v Hulu LLC	June 30 2014
23	007 - Robert Bosch LLC v Pylon Mfg Corp	July 17 2014
24	040 - Bosch Automotive Service Solutions LLC v Matal	December 22 2017
25	001 - Intellectual Ventures I LLC v Motorola Mobility LLC	September 13 2017
26	023 - Saffran v Johnson And Johnson	March 28 2014
27	064 - GTNX Inc v INTTRA Inc	June 9 2017
28	025 - Medgraph Inc v Medtronic Inc	December 13 2016
29	082 - Apple Inc v Samsung Electronics Co Ltd	October 7 2016
30	030 - Gilead Sciences Inc v Lee	Feb 26 2015
31	087 - Howmedica Osteonics Corp v Zimmer Inc	May 12 2016
32	058 - Xilinx Inc v Papst Licensing GmbH And Co KG	October 24 2018
33	095 - ClearCorrect Operating LLC v International Trade Com'n	March 31 2016
34	030 - Otsuka Pharmaceutical Co Ltd v Sandoz Inc	May 11 2018
35	025 - 3M Innovative Properties Co v Tredegar Corp	Aug 6 2013
36	040 - Aevoe Corp v AE Tech Co Ltd	April 3 2017
37	007 - In re Morsa	September 27 2018
38	020 - Halo Electronics Inc v Pulse Electronics Inc	June 29 2017
39	077 - In re Imes	Jan 29 2015
40	014 - In re Procter And Gamble Co	July 8 2015
41	027 - David Netzer Consulting Engineer LLC v Shell Oil Company	May 27 2016
42	054 - Aventis Pharma SA v Hospira Inc	September 13 2012
43	097 - In re NuVasive Inc	May 14 2018
44	037 - Sanofi v Watson Laboratories Inc	March 28 2018
45	092 - Amgen Inc v Apotex Inc	July 5 2016
46	067 - US v Nitek Electronics Inc	December 22 2016
47	086 - CBT Flint Partners LLC v Return Path Inc	March 30 2016
48	094 - EnOcean GmbH v Face Intern Corp	Jan 31 2014
49	058 - Lenscom Inc v 1-800 Contacts Inc	Aug 3 2012
50	074 - Evans v Building Materials Corporation of America	September 20 2018
51	042 - Broadcom Corp v Emulex Corp	March 1 2016
